"","x"
"1",4
"2",5
"3",3
"4",7
"5",2
"6",3
"7",4
"8",2
"9",3
"10",2
"11",4
"12",5
"13",2
"14",4
"15",4
"16",6
"17",4
"18",2
"19",7
"20",4
"21",2
"22",4
"23",5
"24",5
"25",5
"26",3
"27",2
"28",3
"29",4
"30",3
"31",4
"32",6
"33",2
"34",3
"35",4
"36",7
"37",5
"38",7
"39",3
"40",4
"41",4
"42",4
"43",3
"44",3
"45",4
"46",2
"47",5
"48",4
"49",2
"50",3
"51",3
"52",3
"53",2
"54",2
"55",3
"56",3
"57",3
"58",2
"59",5
"60",4
"61",4
"62",2
"63",3
"64",4
"65",4
"66",4
"67",4
"68",4
"69",4
"70",6
"71",3
"72",4
"73",4
"74",3
"75",5
"76",3
"77",4
"78",5
"79",4
"80",4
"81",6
"82",2
"83",7
"84",2
"85",3
"86",4
"87",4
"88",4
"89",3
"90",3
"91",6
"92",5
"93",3
"94",3
"95",3
"96",3
"97",5
"98",2
"99",3
"100",3
"101",3
"102",4
"103",3
"104",6
"105",3
"106",7
"107",8
"108",7
"109",4
"110",5
"111",5
"112",2
"113",5
"114",4
"115",2
"116",3
"117",2
"118",7
"119",4
"120",4
"121",5
"122",4
"123",2
"124",4
"125",3
"126",3
"127",3
"128",4
"129",4
"130",3
"131",4
"132",4
"133",4
"134",3
"135",4
"136",2
"137",3
"138",2
"139",2
"140",4
"141",5
"142",3
"143",3
"144",4
"145",3
"146",3
"147",3
"148",5
"149",4
"150",2
"151",4
"152",3
"153",3
"154",2
"155",6
"156",3
"157",2
"158",4
"159",5
"160",2
"161",3
"162",2
"163",5
"164",5
"165",4
"166",7
"167",4
"168",2
"169",3
"170",5
"171",4
"172",5
"173",4
"174",3
"175",4
"176",4
"177",3
"178",3
"179",4
"180",3
"181",2
"182",5
"183",3
"184",5
"185",3
"186",5
"187",3
"188",3
"189",3
"190",3
"191",4
"192",3
"193",2
"194",5
"195",2
"196",4
"197",2
"198",3
"199",3
"200",2
"201",4
"202",3
"203",3
"204",4
"205",5
"206",4
"207",5
"208",4
"209",5
"210",4
"211",4
"212",2
"213",5
"214",3
"215",4
"216",2
"217",4
"218",3
"219",3
"220",3
"221",5
"222",4
"223",3
"224",5
"225",4
"226",3
"227",5
"228",5
"229",4
"230",6
"231",4
"232",4
"233",3
"234",4
"235",4
"236",5
"237",3
"238",4
"239",4
"240",3
"241",3
"242",4
"243",4
"244",4
"245",3
"246",2
"247",5
"248",2
"249",6
"250",3
"251",2
"252",5
"253",3
"254",3
"255",3
"256",2
"257",4
"258",4
"259",4
"260",3
"261",4
"262",2
"263",2
"264",3
"265",5
"266",5
"267",4
"268",4
"269",4
"270",3
"271",3
"272",5
"273",3
"274",2
"275",5
"276",3
"277",3
"278",4
"279",2
"280",4
"281",3
"282",2
"283",6
"284",4
"285",6
"286",4
"287",3
"288",2
"289",3
"290",4
"291",3
"292",2
"293",4
"294",6
"295",2
"296",6
"297",3
"298",3
"299",7
"300",5
"301",6
"302",7
"303",2
"304",6
"305",2
"306",3
"307",4
"308",2
"309",3
"310",3
"311",4
"312",4
"313",4
"314",2
"315",5
"316",3
"317",3
"318",4
"319",2
"320",3
"321",6
"322",5
"323",4
"324",4
"325",4
"326",5
"327",4
"328",5
"329",4
"330",3
"331",3
"332",3
"333",4
"334",3
"335",4
"336",3
"337",2
"338",5
"339",3
"340",7
"341",3
"342",3
"343",2
"344",3
"345",6
"346",2
"347",2
"348",3
"349",6
"350",3
"351",4
"352",2
"353",2
"354",4
"355",2
"356",3
"357",4
"358",2
"359",4
"360",4
"361",2
"362",5
"363",5
"364",6
"365",6
"366",3
"367",6
"368",3
"369",4
"370",5
"371",3
"372",2
"373",4
"374",3
"375",2
"376",4
"377",5
"378",4
"379",2
"380",4
"381",3
"382",3
"383",3
"384",5
"385",4
"386",3
"387",3
"388",4
"389",4
"390",5
"391",3
"392",4
"393",2
"394",3
"395",3
"396",3
"397",4
"398",3
"399",4
"400",3
"401",4
"402",2
"403",3
"404",2
"405",4
"406",3
"407",3
"408",3
"409",4
"410",2
"411",4
"412",3
"413",4
"414",3
"415",3
"416",3
"417",6
"418",2
"419",3
"420",6
"421",5
"422",4
"423",3
"424",4
"425",5
"426",3
"427",3
"428",5
"429",3
"430",2
"431",6
"432",5
"433",4
"434",2
"435",3
"436",2
"437",2
"438",4
"439",3
"440",3
"441",3
"442",5
"443",3
"444",5
"445",2
"446",4
"447",5
"448",5
"449",3
"450",3
"451",3
"452",4
"453",3
"454",3
"455",4
"456",5
"457",3
"458",3
"459",4
"460",2
"461",2
"462",5
"463",3
"464",2
"465",2
"466",3
"467",3
"468",3
"469",5
"470",3
"471",4
"472",5
"473",3
"474",5
"475",2
"476",11
"477",5
"478",3
"479",2
"480",3
"481",2
"482",2
"483",4
"484",5
"485",5
"486",5
"487",4
"488",7
"489",4
"490",4
"491",3
"492",4
"493",3
"494",3
"495",4
"496",5
"497",2
"498",3
"499",3
"500",2
"501",3
"502",3
"503",2
"504",5
"505",2
"506",2
"507",3
"508",4
"509",5
"510",2
"511",2
"512",6
"513",3
"514",2
"515",3
"516",4
"517",2
"518",3
"519",5
"520",4
"521",2
"522",3
"523",4
"524",3
"525",8
"526",4
"527",2
"528",2
"529",3
"530",4
"531",3
"532",4
"533",3
"534",2
"535",2
"536",3
"537",2
"538",2
"539",4
"540",3
"541",4
"542",2
"543",4
"544",4
"545",3
"546",3
"547",4
"548",3
"549",2
"550",5
"551",4
"552",4
"553",2
"554",2
"555",4
"556",3
"557",4
"558",3
"559",4
"560",4
"561",4
"562",3
"563",8
"564",2
"565",3
"566",3
"567",4
"568",3
"569",5
"570",5
"571",2
"572",2
"573",7
"574",3
"575",3
"576",3
"577",7
"578",2
"579",3
"580",6
"581",5
"582",4
"583",6
"584",5
"585",4
"586",5
"587",2
"588",3
"589",3
"590",5
"591",4
"592",4
"593",6
"594",4
"595",5
"596",5
"597",5
"598",4
"599",3
"600",3
"601",4
"602",5
"603",7
"604",3
"605",2
"606",3
"607",3
"608",4
"609",4
"610",4
"611",5
"612",3
"613",2
"614",4
"615",3
"616",2
"617",7
"618",4
"619",2
"620",5
"621",2
"622",2
"623",4
"624",2
"625",7
