"","x"
"1",48
"2",39
"3",31
"4",32
"5",35
"6",32
"7",32
"8",27
"9",28
"10",43
"11",40
"12",30
"13",35
"14",34
"15",35
"16",30
"17",38
"18",34
"19",37
"20",36
"21",37
"22",29
"23",31
"24",40
"25",27
"26",34
"27",35
"28",30
"29",42
"30",30
"31",35
"32",29
"33",44
"34",30
"35",36
"36",26
"37",34
"38",39
"39",41
"40",39
"41",37
"42",47
"43",40
"44",29
"45",40
"46",34
"47",31
"48",43
"49",22
"50",27
"51",30
"52",27
"53",28
"54",30
"55",40
"56",51
"57",44
"58",33
"59",29
"60",36
"61",42
"62",43
"63",25
"64",31
"65",32
"66",39
"67",33
"68",29
"69",37
"70",36
"71",19
"72",31
"73",37
"74",31
"75",30
"76",23
"77",29
"78",40
"79",40
"80",30
"81",31
"82",34
"83",34
"84",37
"85",34
"86",40
"87",28
"88",37
"89",43
"90",31
"91",45
"92",38
"93",36
"94",40
"95",34
"96",31
"97",25
"98",33
"99",42
"100",45
"101",29
"102",28
"103",32
"104",29
"105",35
"106",31
"107",30
"108",27
"109",38
"110",38
"111",28
"112",31
"113",27
"114",34
"115",30
"116",34
"117",35
"118",30
"119",31
"120",27
"121",35
"122",34
"123",41
"124",27
"125",38
"126",28
"127",47
"128",25
"129",34
"130",33
"131",45
"132",44
"133",31
"134",35
"135",33
"136",38
"137",33
"138",31
"139",37
"140",33
"141",40
"142",28
"143",41
"144",27
"145",39
"146",23
"147",36
"148",40
"149",30
"150",33
"151",44
"152",38
"153",38
"154",30
"155",44
"156",39
"157",30
"158",33
"159",36
"160",36
"161",36
"162",36
"163",40
"164",31
"165",30
"166",35
"167",40
"168",34
"169",41
"170",26
"171",36
"172",35
"173",32
"174",33
"175",31
"176",42
"177",28
"178",31
"179",50
"180",44
"181",32
"182",37
"183",44
"184",28
"185",56
"186",32
"187",45
"188",36
"189",30
"190",35
"191",32
"192",38
"193",33
"194",23
"195",32
"196",32
"197",37
"198",23
"199",28
"200",37
"201",34
"202",31
"203",27
"204",35
"205",34
"206",20
"207",41
"208",36
