"","x"
"1",14
"2",16
"3",17
"4",17
"5",12
"6",14
"7",12
"8",13
"9",16
"10",13
"11",14
"12",13
"13",10
"14",16
"15",17
"16",15
"17",15
"18",13
"19",11
"20",18
"21",10
"22",11
"23",16
"24",14
"25",13
"26",16
"27",18
"28",11
"29",12
"30",14
"31",13
"32",13
"33",18
"34",18
"35",16
"36",12
"37",15
"38",14
"39",14
"40",13
"41",12
"42",16
"43",12
"44",14
"45",14
"46",12
"47",13
"48",18
"49",16
"50",16
"51",12
"52",11
"53",12
"54",15
"55",18
"56",12
"57",15
"58",16
"59",16
"60",10
"61",13
"62",18
"63",15
"64",18
"65",14
"66",16
"67",13
"68",18
"69",11
"70",15
"71",15
"72",18
"73",16
"74",15
"75",16
"76",14
"77",16
"78",13
"79",17
"80",16
"81",16
"82",14
"83",13
"84",17
"85",12
"86",16
"87",18
"88",15
"89",18
"90",15
"91",16
"92",12
"93",10
"94",11
"95",13
"96",17
"97",20
"98",14
"99",15
"100",10
"101",11
"102",8
"103",15
"104",15
"105",12
"106",15
"107",17
"108",16
"109",15
"110",12
"111",14
"112",13
"113",16
"114",15
"115",15
"116",14
"117",18
"118",18
"119",12
"120",12
"121",16
"122",13
"123",12
"124",16
"125",21
"126",14
"127",17
"128",14
"129",14
"130",15
"131",11
"132",11
"133",14
"134",18
"135",15
"136",18
"137",16
"138",18
"139",11
"140",15
"141",11
"142",13
"143",12
"144",19
"145",11
"146",15
"147",15
"148",15
"149",12
"150",14
"151",17
"152",10
"153",17
"154",11
"155",15
"156",17
"157",13
"158",10
"159",20
"160",13
"161",18
"162",17
"163",15
"164",16
"165",16
"166",18
"167",15
"168",16
"169",15
"170",17
"171",13
"172",18
"173",21
"174",13
"175",13
"176",19
"177",16
"178",17
"179",14
"180",14
"181",15
"182",14
"183",13
"184",14
"185",18
"186",18
"187",19
"188",19
"189",17
"190",14
"191",10
"192",14
"193",11
"194",17
"195",12
"196",16
"197",14
"198",14
"199",13
"200",11
"201",18
"202",14
"203",18
"204",17
"205",18
"206",15
"207",13
"208",12
"209",12
"210",11
"211",11
"212",16
"213",14
"214",10
"215",16
"216",13
"217",15
"218",11
"219",16
"220",13
"221",11
"222",20
"223",17
"224",14
"225",14
"226",14
"227",13
"228",11
"229",17
"230",18
"231",15
"232",12
"233",14
"234",15
"235",11
"236",17
"237",15
"238",16
"239",12
"240",17
"241",15
"242",12
"243",17
"244",19
"245",16
"246",14
"247",11
"248",17
"249",16
"250",14
"251",16
"252",11
"253",11
"254",20
"255",16
"256",14
"257",11
"258",14
"259",15
"260",15
"261",15
"262",15
"263",15
"264",11
"265",20
"266",12
"267",17
"268",11
"269",16
"270",19
"271",16
"272",16
"273",14
"274",13
"275",15
"276",13
"277",18
"278",18
"279",16
"280",13
"281",18
"282",16
"283",14
"284",10
"285",14
"286",17
"287",15
"288",16
"289",15
"290",17
"291",13
"292",13
"293",10
"294",11
"295",14
"296",17
"297",14
"298",18
"299",16
"300",12
"301",17
"302",14
"303",17
"304",23
"305",12
"306",15
"307",15
"308",14
"309",14
"310",14
"311",14
"312",15
"313",11
"314",14
"315",17
"316",19
"317",14
"318",11
"319",17
"320",15
"321",14
"322",12
"323",16
"324",13
"325",15
"326",11
"327",13
"328",12
"329",12
"330",13
"331",15
"332",15
"333",15
"334",13
"335",19
"336",19
"337",11
